iter	Passed	Remaining
406	6397	9321
407	6415	9308
408	6432	9294
409	6449	9281
410	6465	9265
411	6480	9248
412	6495	9232
413	6509	9213
414	6524	9196
415	6538	9178
416	6552	9160
417	6566	9143
418	6580	9124
419	6605	9121
420	6623	9109
421	6640	9095
422	6663	9089
423	6679	9073
424	6694	9057
425	6709	9039
426	6723	9021
427	6736	9003
428	6750	8985
429	6764	8966
430	6777	8947
431	6791	8929
432	6806	8912
433	6819	8894
434	6834	8876
435	6848	8858
436	6863	8841
437	6878	8825
438	6891	8806
439	6905	8788
440	6919	8770
441	6934	8753
442	6950	8739
443	6963	8720
444	6977	8702
445	6991	8684
446	7005	8667
447	7019	8648
448	7033	8631
449	7049	8615
450	7062	8597
451	7077	8580
452	7092	8564
453	7107	8547
454	7124	8533
455	7138	8515
456	7151	8497
457	7164	8478
458	7180	8463
459	7196	8447
460	7211	8432
461	7226	8415
462	7240	8397
463	7253	8379
464	7267	8361
465	7282	8345
466	7297	8329
467	7313	8313
468	7327	8296
469	7345	8283
470	7361	8268
471	7378	8254
472	7395	8239
473	7414	8227
474	7432	8214
475	7448	8200
476	7474	8195
477	7491	8181
478	7507	8165
479	7522	8149
480	7538	8133
481	7554	8118
482	7573	8106
483	7591	8093
484	7607	8077
485	7622	8061
486	7637	8045
487	7655	8031
488	7671	8016
489	7686	7999
490	7700	7982
491	7716	7967
492	7730	7949
493	7744	7932
494	7759	7915
495	7773	7898
496	7787	7881
497	7801	7864
498	7815	7847
499	7830	7830
500	7843	7812
501	7858	7796
502	7873	7779
503	7886	7761
504	7901	7744
505	7914	7726
506	7927	7708
507	7941	7690
508	7956	7675
509	7969	7657
510	7983	7639
511	7997	7622
512	8012	7606
513	8025	7588
514	8042	7574
515	8058	7558
516	8074	7543
517	8092	7529
518	8110	7516
519	8125	7500
520	8142	7486
521	8160	7472
522	8176	7457
523	8190	7440
524	8207	7425
525	8221	7408
526	8235	7391
527	8249	7374
528	8263	7357
529	8280	7343
530	8294	7325
531	8308	7309
532	8322	7291
533	8336	7274
534	8350	7257
535	8363	7240
536	8380	7225
537	8397	7211
538	8414	7197
539	8429	7180
540	8446	7166
541	8466	7154
542	8484	7140
543	8501	7126
544	8519	7112
545	8537	7098
546	8555	7085
547	8574	7072
548	8591	7058
549	8611	7045
550	8627	7030
551	8643	7014
552	8660	7000
553	8677	6986
554	8694	6971
555	8710	6955
556	8728	6941
557	8744	6926
558	8760	6910
559	8777	6896
560	8794	6881
561	8813	6868
562	8832	6856
563	8848	6840
564	8864	6825
565	8882	6810
566	8897	6794
567	8915	6781
568	8931	6765
569	8947	6749
570	8963	6734
571	8980	6719
572	8997	6705
573	9014	6690
574	9033	6677
575	9050	6661
576	9064	6645
577	9081	6630
578	9099	6616
579	9115	6601
580	9130	6584
581	9146	6569
582	9162	6553
583	9178	6538
584	9193	6521
585	9207	6505
586	9228	6493
587	9244	6477
588	9261	6462
589	9274	6445
590	9290	6429
591	9307	6414
592	9328	6402
593	9347	6388
594	9364	6374
