iter	Logloss
0	0.6840703914
1	0.6747200915
2	0.6657467645
3	0.6571842645
4	0.6483785906
5	0.6399010022
6	0.6316744397
7	0.6237705177
8	0.6163803267
9	0.6086552241
10	0.6012348485
11	0.5944636995
12	0.5874608191
13	0.5810340909
14	0.5743746054
15	0.5678126973
16	0.5615398122
17	0.5558373185
18	0.5497404514
19	0.5442117661
20	0.5388285196
21	0.5332318497
22	0.5278433949
23	0.5224841777
24	0.5172940735
25	0.5124148911
26	0.5074852825
27	0.5030502289
28	0.4985150331
29	0.4940887784
30	0.4896944444
31	0.4857160669
32	0.4818624132
33	0.4780134943
34	0.4739921086
35	0.4700803346
36	0.4666489504
37	0.4630599353
38	0.4594883602
39	0.4562096749
40	0.4529136679
41	0.44997384
42	0.4469319366
43	0.4439835464
44	0.4409665799
45	0.4379210859
46	0.4349392756
47	0.432199416
48	0.4296428346
49	0.4269235322
50	0.4242321259
51	0.421663155
52	0.4191422427
53	0.4166660748
54	0.4144882023
55	0.4122110953
56	0.4098783539
57	0.4076647727
58	0.4057111742
59	0.4036151357
60	0.4015536616
61	0.3997264441
62	0.3979069208
63	0.3959787721
64	0.394232994
65	0.3925563447
66	0.3908875868
67	0.3893055556
68	0.3877215515
69	0.3860598958
70	0.3844007655
71	0.3828365294
72	0.3813311237
73	0.3800742977
74	0.3785934738
75	0.3772705571
76	0.3759340278
77	0.3745434422
78	0.3733556266
79	0.3722232481
80	0.37103125
81	0.369759667
82	0.3686259864
83	0.3673991083
84	0.3662742266
85	0.365084517
86	0.364026239
87	0.3630676294
88	0.3619648043
89	0.3608602825
90	0.3599729719
91	0.3590159012
92	0.3580828204
93	0.3570456913
94	0.3561117424
95	0.3552304687
96	0.354345565
97	0.3534592014
98	0.3525935527
99	0.3518746843
100	0.3510394965
101	0.3503509706
102	0.3496137942
103	0.3488491162
104	0.3482053741
105	0.3475908696
106	0.3469409722
107	0.346256471
108	0.3456137547
109	0.3450111269
110	0.344336845
111	0.3436694681
112	0.3431070076
113	0.3424794429
114	0.341856179
115	0.3413023201
116	0.340780816
117	0.3401946023
118	0.3396170691
119	0.3390972222
120	0.3385369318
121	0.3380113636
122	0.337492661
123	0.3369712358
124	0.3365648674
125	0.3360560685
126	0.3355840436
127	0.3350774148
128	0.3346404277
129	0.3342177241
130	0.3337880366
131	0.3334200994
132	0.3330043797
133	0.3325718119
134	0.332223761
135	0.3318503788
136	0.3314300426
137	0.331090041
138	0.3306953322
139	0.3303081992
140	0.3299302596
141	0.3295461648
142	0.3291608862
143	0.3288076862
144	0.3284650016
145	0.3281311948
146	0.327837279
147	0.3275261206
148	0.3271401318
149	0.326887646
150	0.3266059422
151	0.3263337082
152	0.3260171638
153	0.3256877959
154	0.3254113005
155	0.3251120975
156	0.3249117937
157	0.324613735
158	0.324334813
159	0.3240577849
160	0.3237471788
161	0.3234998422
162	0.3232508286
163	0.3229955216
164	0.3227739504
165	0.3225530698
166	0.3223197404
167	0.3220978535
168	0.3219093079
169	0.3216741832
170	0.3214308318
171	0.3211874014
172	0.320985322
173	0.3207651712
174	0.3205572325
175	0.3203384628
176	0.3201690341
177	0.3199484296
178	0.3197956913
179	0.3195569168
180	0.3193672861
181	0.3192025331
182	0.3189982047
183	0.3187951389
184	0.3185833728
185	0.3184458846
186	0.3183142953
187	0.3181380406
188	0.317941209
189	0.3177704585
190	0.3176061592
191	0.3174391375
192	0.3172542219
193	0.3171141493
194	0.3169271031
195	0.3167765152
196	0.3166102431
197	0.3164749448
198	0.3163075481
199	0.3161667259
200	0.3160428109
201	0.3158684501
202	0.315696733
203	0.315570352
204	0.3154516059
205	0.3152912326
206	0.3151374487
207	0.315007556
208	0.3148871133
